# Protein abundances computed from file '/tmp/knime_Identification_62243/fs-IDCon_0-231-62257/000/000/IDConflictResolver_0/filefilter_run1.consensusXML'
# Parameters (relevant only): top=3, average=median
# Files/samples associated with abundance values below: 1: '/home/mateus/proteomic_data/filefilter_run1.mzML' ('itraq4plex_114'), 2: '/home/mateus/proteomic_data/filefilter_run1.mzML' ('itraq4plex_115'), 3: '/home/mateus/proteomic_data/filefilter_run1.mzML' ('itraq4plex_116'), 4: '/home/mateus/proteomic_data/filefilter_run1.mzML' ('itraq4plex_117'), 5: '/home/mateus/proteomic_data/filefilter_run2.mzML' ('itraq4plex_114'), 6: '/home/mateus/proteomic_data/filefilter_run2.mzML' ('itraq4plex_115'), 7: '/home/mateus/proteomic_data/filefilter_run2.mzML' ('itraq4plex_116'), 8: '/home/mateus/proteomic_data/filefilter_run2.mzML' ('itraq4plex_117')
"protein"	"n_proteins"	"protein_score"	"n_peptides"	"abundance_1"	"abundance_2"	"abundance_3"	"abundance_4"	"abundance_5"	"abundance_6"	"abundance_7"	"abundance_8"
"sp|A0A0C4DH25|KVD20_HUMAN/sp|P01619|KV320_HUMAN"	2	0.930475782441035	4	0.0	0.0	0.0	0.0	212.61027193069458	274.754188537597656	183.621017456054688	190.582187652587891
"sp|O14791|APOL1_HUMAN"	1	0.998932274772949	5	55.27703857421875	113.979835510253906	125.164772033691406	163.3685302734375	54.611941337585449	59.15472412109375	49.908416748046875	33.729560852050781
"sp|O43866|CD5L_HUMAN"	1	0.994939790502262	7	162.264144897460938	266.272117614746094	309.013320922851563	409.361335754394531	44.297966003417969	244.460182189941406	222.117706298828125	162.796646118164063
"sp|O75636|FCN3_HUMAN"	1	0.975610996512856	5	0.0	32.541580200195313	0.0	16.676383972167969	0.0	0.0	0.0	0.0
"sp|O75882|ATRN_HUMAN"	1	0.859776049364155	3	12.603170394897461	25.316577911376953	0.0	0.0	0.0	0.0	0.0	0.0
"sp|O95445|APOM_HUMAN"	1	0.868527731415516	5	57.694108963012695	35.675739288330078	134.098495483398438	57.236347198486328	0.0	78.613410949707031	49.529224395751953	31.42906379699707
"sp|P00450|CERU_HUMAN"	1	0.987543635015261	16	287.282323837280273	393.454519271850586	376.245845794677734	329.357818603515625	292.15540885925293	463.474750518798828	352.181018352508545	262.584521293640137
"sp|P00734|THRB_HUMAN/tr|E9PIT3|E9PIT3_HUMAN"	2	0.999999995005598	17	192.900263786315918	180.196048736572266	324.262763977050781	304.391204833984375	276.787555694580078	402.687187194824219	809.144760131835938	360.171310424804688
"sp|P00736|C1R_HUMAN/tr|A0A3B3ISR2|A0A3B3ISR2_HUMAN/tr|B4DPQ0|B4DPQ0_HUMAN/tr|F5H2D0|F5H2D0_HUMAN"	4	0.999718867991553	7	13.569060325622559	13.228697776794434	18.32524299621582	22.452667236328125	51.4317626953125	56.938667297363281	40.173095703125	23.1116943359375
"sp|P00747|PLMN_HUMAN"	1	0.999997102911392	14	223.099234580993652	399.645975112915039	287.924957275390625	375.982860565185547	83.848480224609375	176.05419921875	604.267398834228516	92.270435333251953
"sp|P00748|FA12_HUMAN"	1	0.999874764354607	12	78.267021179199219	49.181373596191406	55.913766860961914	94.342155456542969	35.603221893310547	64.327629089355469	88.556167602539063	60.278224945068359
